Water_Supply_Scheme,Sample_Code,EC,pH,Turbidity,TDS,Alkalinity,HCO3,CO3,Cl,SO4,Ca,Mg,Hardness,Na,K,NO3_N,PO_{4},F,Fe,As
Alawal Sharif,I/CHA/CHA/01/C/1,933.0,7.65,0.16,560.0,8.0,400,23.57196261682243,45.0,21.0,28.0,15.0,130.0,151.0,1.0,3.0,0.09,0.89,0.08,0.73
,I/CHA/CHA/01/C/2,3308.0,7.5,12.11,2051.0,6.6,330,23.57196261682243,656.0,436.0,112.0,117.0,760.0,424.0,3.0,8.0,0.1,0.69,0.07,0.41
Mundy,I/CHA/CHA/02/C/1,1951.0,7.55,0.29,1171.0,10.4,520,23.57196261682243,158.0,137.0,84.0,73.0,510.0,228.0,1.0,27.0,0.11,1.01,0.01,1.14
,I/CHA/CHA/02/C/2,4429.0,7.98,27.93,2746.0,12.1,605,23.57196261682243,722.0,414.0,20.0,27.0,160.0,950.0,2.0,30.0,0.12,0.54,0.52,0.81
Gah,I/CHA/CHA/03/S/1,1475.0,7.56,1.16,915.0,8.1,405,23.57196261682243,110.0,150.0,80.0,44.0,380.0,195.0,2.0,9.0,0.13,0.31,0.02,0.68
,I/CHA/CHA/03/C/1,1490.0,7.64,1.09,924.0,8.0,400,23.57196261682243,110.0,151.0,76.0,47.0,390.0,195.0,2.0,10.0,0.07,0.31,0.09,1.12
,I/CHA/CHA/03/C/2,1375.0,7.61,0.19,825.0,8.0,400,23.57196261682243,76.0,138.0,80.0,41.0,370.0,160.0,2.0,7.0,0.19,0.3,0.04,1.39
Khara,I/CHA/CHA/04/C/1,4899.0,7.6,0.31,3037.0,5.4,270,23.57196261682243,822.0,976.0,168.0,126.0,940.0,725.0,2.0,0.7,0.15,0.56,0.26,0.34
,I/CHA/CHA/04/C/2,741.0,8.0,0.33,445.0,6.8,340,23.57196261682243,27.0,6.0,60.0,36.0,300.0,50.0,1.0,2.0,0.09,0.31,0.06,0.39
Sohair,I/CHA/CHA/05/S/1,762.0,8.01,0.48,457.0,7.0,350,23.57196261682243,31.0,9.0,60.0,36.0,300.0,53.0,0.9,2.0,0.1,0.29,0.05,0.94
,I/CHA/CHA/05/C/1,823.0,7.97,0.18,494.0,7.0,350,23.57196261682243,62.0,12.0,52.0,46.0,320.0,58.0,2.0,2.0,0.11,0.29,0.11,0.37
,I/CHA/CHA/05/C/2,770.0,7.97,0.32,462.0,7.0,350,23.57196261682243,34.0,12.0,60.0,39.0,310.0,58.0,0.9,2.0,0.13,0.29,0.06,0.44
Bhagwal,I/CHA/CHA/06/C/1,1260.0,8.24,0.31,756.0,8.0,400,23.57196261682243,54.0,78.0,32.0,22.0,170.0,220.0,1.0,10.0,0.14,0.29,0.12,0.88
,I/CHA/CHA/06/C/2,1886.0,7.7,1.62,1172.0,8.4,420,23.57196261682243,118.0,224.0,40.0,32.0,230.0,335.0,1.0,34.0,0.15,0.28,0.35,0.6
Mangon,I/CHA/CHA/07/S/1,1015.0,7.8,0.11,609.0,8.1,405,23.57196261682243,71.0,21.0,36.0,37.0,240.0,150.0,1.0,1.0,0.17,0.26,0.1,0.81
,I/CHA/CHA/07/C/1,1019.0,7.7,0.12,611.0,8.1,405,23.57196261682243,76.0,20.0,36.0,37.0,240.0,153.0,2.0,1.0,0.09,0.27,0.07,0.61
,I/CHA/CHA/07/C/2,1020.0,7.84,0.29,612.0,8.0,400,23.57196261682243,79.0,19.0,36.0,34.0,230.0,156.0,2.0,1.0,0.1,0.26,0.15,1.06
Karsal,I/CHA/CHA/08/C/1,1080.0,7.49,4.69,648.0,10.2,510,23.57196261682243,29.0,16.0,76.0,70.0,480.0,51.0,2.0,3.0,0.07,0.56,0.79,0.74
,I/CHA/CHA/08/C/2,980.0,7.29,12.34,588.0,9.6,480,23.57196261682243,27.0,20.0,56.0,73.0,440.0,48.0,2.0,5.0,0.05,0.76,0.71,0.37
Chawli,I/CHA/CHA/09/S/1,1390.0,7.82,0.42,834.0,10.6,530,23.57196261682243,29.0,71.0,24.0,22.0,150.0,259.0,0.9,14.0,0.04,0.7,0.03,0.42
,I/CHA/CHA/09/C/1,1442.0,8.11,1.29,865.0,10.4,520,23.57196261682243,65.0,20.0,32.0,12.0,130.0,255.0,2.0,14.0,0.07,0.71,0.03,0.9
,I/CHA/CHA/09/C/2,1440.0,8.03,0.31,864.0,11.0,550,23.57196261682243,62.0,20.0,40.0,12.0,150.0,230.0,0.9,15.0,0.06,0.71,0.05,0.74
,I/CHA/CHA/10/C/1,1580.0,7.89,1.78,948.0,12.0,600,23.57196261682243,70.0,73.0,56.0,5.0,160.0,297.0,2.0,9.0,0.1,0.84,0.02,0.86
,I/CHA/CHA/10/C/2,1538.0,7.53,0.62,923.0,11.7,585,23.57196261682243,73.0,72.0,32.0,24.0,180.0,266.0,2.0,9.0,0.9,0.85,0.07,0.62
Ranja,I/CHA/CHA/11/S/1,1413.0,8.13,0.2,848.0,7.0,350,23.57196261682243,79.0,100.0,26.0,23.0,160.0,231.0,1.0,26.0,0.14,0.5,0.03,0.83
,I/CHA/CHA/11/C/1,1389.0,8.14,0.21,833.0,8.4,420,23.57196261682243,86.0,33.0,24.0,24.0,160.0,245.0,2.0,36.0,0.07,0.47,0.04,1.24
,I/CHA/CHA/11/C/2,1480.0,8.14,0.69,888.0,8.2,410,8.2,80.0,98.0,28.0,27.0,180.0,260.0,0.9,26.0,0.09,0.52,0.05,1.0
Moolwal,I/CHA/CHA/12/S/1,2010.0,7.75,0.33,1246.0,12.6,630,23.57196261682243,173.0,155.0,48.0,29.0,240.0,361.0,3.0,1.0,0.14,0.41,0.04,1.44
,I/CHA/CHA/12/C/1,2007.0,7.8,0.42,1244.0,12.4,620,23.57196261682243,180.0,155.0,48.0,29.0,240.0,355.0,3.0,0.4,0.13,0.41,0.03,0.78
,I/CHA/CHA/12/C/2,2003.0,7.59,0.29,1241.0,12.8,640,23.57196261682243,187.0,125.0,48.0,35.0,260.0,360.0,3.0,1.0,0.1,0.41,0.05,0.75
Chak Bhown,I/CHA/CHA/13/S/1,1040.0,7.68,0.32,624.0,8.2,410,23.57196261682243,58.0,47.0,36.0,34.0,230.0,149.0,2.0,1.0,0.17,0.31,0.01,2.12
,I/CHA/CHA/13/C/1,1045.0,7.86,0.02,627.0,7.8,390,23.57196261682243,72.0,46.0,64.0,15.0,220.0,145.0,2.0,1.0,0.08,0.31,0.03,1.71
,I/CHA/CHA/13/C/2,1010.0,7.89,0.23,606.0,8.0,400,23.57196261682243,68.0,30.0,36.0,34.0,230.0,145.0,2.0,1.0,0.1,0.32,0.03,1.05
Vero,I/CHA/CHA/14/S/1,1070.0,7.33,0.39,642.0,8.2,410,23.57196261682243,73.0,49.0,36.0,32.0,220.0,159.0,1.0,0.5,0.07,0.31,0.03,1.47
,I/CHA/CHA/14/C/1,1030.0,7.9,0.46,627.0,6.4,320,23.57196261682243,72.0,91.0,28.0,32.0,200.0,158.0,1.0,1.0,0.11,0.3,0.17,1.09
,I/CHA/CHA/14/C/2,1028.0,7.94,0.44,617.0,5.9,295,23.57196261682243,79.0,93.0,24.0,36.0,210.0,139.0,2.0,1.0,0.07,0.32,0.07,1.47
Hastal,I/CHA/CHA/15/S/1,1300.0,7.91,1.04,780.0,6.8,340,23.57196261682243,90.0,124.0,32.0,17.0,150.0,232.0,2.0,2.0,0.09,0.92,0.08,0.62
,I/CHA/CHA/15/C/1,1660.0,7.92,0.52,996.0,7.8,390,23.57196261682243,249.0,91.0,32.0,22.0,170.0,330.0,2.0,1.0,0.13,0.97,0.07,0.85
,I/CHA/CHA/15/C/2,1380.0,7.8,0.21,828.0,6.8,340,23.57196261682243,176.0,70.0,32.0,17.0,150.0,248.0,2.0,1.0,0.1,0.95,0.09,0.65
,I/CHA/CHA/16/C/2,825.0,8.4,0.34,495.0,8.2,410,23.57196261682243,14.0,130.15925768822905,8.0,15.0,80.0,160.0,0.9,1.0,0.06,0.31,0.21,0.45
Dullah,I/CHA/CHA/17/S/1,2735.0,7.33,2.48,1696.0,19.8,990,23.57196261682243,240.0,68.0,80.0,41.0,370.0,485.0,1.0,1.0,0.09,0.77,0.02,0.41
,I/CHA/CHA/17/C/1,2790.0,7.61,3.19,1730.0,19.9,995,23.57196261682243,242.0,66.0,76.0,46.0,380.0,486.0,0.9,6.0,0.09,0.76,0.09,0.46
,I/CHA/CHA/17/C/2,2730.0,7.67,0.27,1693.0,19.6,980,23.57196261682243,198.0,170.0,56.0,51.0,350.0,470.0,1.0,2.0,0.13,0.79,0.45,0.58
Underwal,I/CHA/CHA/18/S/1,1447.0,7.82,0.32,868.0,7.4,370,23.57196261682243,96.0,196.0,86.0,72.0,510.0,104.0,4.0,1.0,0.1,0.34,0.16,1.19
,I/CHA/CHA/18/C/1,1430.0,7.46,0.01,858.0,7.0,350,23.57196261682243,80.0,191.0,56.0,85.0,490.0,90.0,4.0,13.0,0.09,0.28,0.02,1.17
,I/CHA/CHA/18/C/2,1200.0,8.13,0.01,720.0,6.8,340,23.57196261682243,80.0,90.0,52.0,66.0,400.0,90.0,3.0,14.0,0.17,0.29,0.15,0.55
Chak Nurang,I/CHA/CHA/19/C/1,2470.0,8.43,35.7,1482.0,5.8,290,23.57196261682243,362.0,426.0,40.0,44.0,280.0,428.0,1.0,1.0,0.2,1.41,0.02,1.16
,I/CHA/CHA/19/C/2,1357.0,8.05,0.21,814.0,9.6,480,23.57196261682243,71.0,124.0,28.0,32.0,200.0,205.0,2.0,2.0,0.13,0.76,0.16,0.65
Fareed Kasar,I/CHA/CHA/20/S/1,1155.0,7.84,6.25,693.0,7.8,390,23.57196261682243,100.0,139.0,40.0,41.0,270.0,142.0,0.2,1.0,0.17,0.51,0.06,1.19
,I/CHA/CHA/20/C/1,1014.0,8.13,0.02,608.0,7.2,360,23.57196261682243,80.0,74.0,30.0,40.0,240.0,140.0,0.2,1.0,0.15,0.49,0.09,1.17
,I/CHA/CHA/20/C/2,1010.0,7.96,0.02,606.0,7.1,355,23.57196261682243,82.0,75.0,28.0,40.0,235.0,145.0,0.2,1.0,0.09,0.5,0.61,0.93
"Nadral + Kot
Iqbal",I/CHA/CHA/21/C/1,970.0,7.32,27.3,582.0,8.0,400,23.57196261682243,47.0,18.0,60.0,39.0,310.0,87.0,0.2,4.0,0.1,0.34,0.81,0.83
,I/CHA/CHA/21/C/2,851.0,7.7,0.01,511.0,6.3,315,23.57196261682243,29.0,60.0,36.0,41.0,260.0,80.0,1.0,4.0,0.08,0.73,0.41,0.33
Mianmair,I/CHA/CHA/22/C/1,1023.0,7.71,0.08,614.0,8.0,400,23.57196261682243,47.0,50.0,48.0,46.0,310.0,90.0,0.2,10.0,0.1,0.46,0.99,0.3
,I/CHA/CHA/22/C/2,1790.0,7.72,0.01,1074.0,10.2,510,23.57196261682243,149.0,121.0,46.0,68.0,395.0,214.0,0.2,21.0,0.13,0.69,0.16,1.0
Dhab Parry,I/CHA/CHA/23/C/1,1365.0,7.75,0.01,819.0,6.7,335,23.57196261682243,150.0,124.0,78.0,24.0,295.0,178.0,1.0,2.0,0.09,0.27,0.06,0.19
,I/CHA/CHA/23/S/1,1322.0,7.5,16.5,793.0,6.5,325,23.57196261682243,150.0,116.0,66.0,30.0,290.0,171.0,1.0,1.0,0.11,0.28,0.04,0.4
,I/CHA/CHA/23/C/2,1355.0,7.68,0.11,813.0,6.6,330,23.57196261682243,160.0,121.0,60.0,39.0,310.0,177.0,1.0,2.0,0.07,0.28,0.1,0.92
Dhab Loharan,I/CHA/CHA/24/S/1,916.0,7.75,0.02,550.0,5.1,255,23.57196261682243,87.0,67.0,40.0,17.0,170.0,136.0,0.2,3.0,0.08,0.34,0.7,0.58
,I/CHA/CHA/24/C/1,932.0,7.61,0.06,559.0,5.1,255,23.57196261682243,90.0,70.0,40.0,24.0,200.0,122.0,1.0,3.0,0.1,0.33,0.43,0.38
,I/CHA/CHA/24/C/2,914.0,7.85,0.11,548.0,5.2,260,23.57196261682243,85.0,73.0,44.0,15.0,170.0,131.0,1.0,1.0,0.13,0.29,0.04,0.34
Dhab Kalan,I/CHA/CHA/25/S/1,745.0,7.6,0.19,447.0,5.0,250,23.57196261682243,59.0,44.0,48.0,16.0,185.0,85.0,2.0,2.0,0.17,0.35,0.09,1.18
,I/CHA/CHA/25/C/1,1020.0,7.3,0.01,2412.0,6.0,300,23.57196261682243,460.0,975.0,120.0,134.0,840.0,500.0,10.0,1.0,0.07,0.54,0.19,0.16
,I/CHA/CHA/25/C/2,1504.0,8.56,0.09,902.0,6.2,310,23.57196261682243,175.0,162.0,14.0,13.0,90.0,293.0,1.0,1.0,0.11,0.84,0.43,0.57
Pad Shahan,I/CHA/CHA/26/S/1,780.0,7.42,0.11,468.0,5.8,290,23.57196261682243,50.0,46.0,60.0,36.0,295.0,56.0,1.0,2.0,0.09,0.34,0.07,0.92
,I/CHA/CHA/26/C/1,778.0,7.73,0.24,467.0,5.6,280,23.57196261682243,52.0,43.0,60.0,32.0,280.0,56.0,1.0,2.0,0.1,0.34,0.09,0.92
,I/CHA/CHA/26/C/2,743.0,7.82,0.8,446.0,5.5,275,23.57196261682243,50.0,35.0,72.0,24.0,280.0,46.0,1.0,2.0,0.14,0.32,1.61,0.87
Dorie,I/CHA/CHA/27/C/1,1814.0,7.8,26.2,1088.0,7.1,355,23.57196261682243,209.0,243.0,48.0,41.0,290.0,280.0,1.0,2.0,0.11,1.07,0.12,0.2
,I/CHA/CHA/27/C/2,1810.0,7.46,26.5,1086.0,7.0,350,23.57196261682243,207.0,234.0,50.0,40.0,290.0,291.0,1.0,1.0,0.09,1.04,0.07,0.04
SialMaken,I/CHA/CHA/28/S/1,1309.0,7.71,0.09,785.0,6.0,300,23.57196261682243,164.0,101.0,40.0,11.0,145.0,230.0,0.6,1.0,0.13,1.05,0.18,0.64
,I/CHA/CHA/28/C/1,1320.0,7.81,0.23,792.0,5.7,285,23.57196261682243,167.0,121.0,32.0,15.0,140.0,228.0,0.9,1.0,0.19,1.04,0.23,0.67
,I/CHA/CHA/28/C/2,1333.0,7.82,0.37,800.0,5.8,290,23.57196261682243,167.0,116.0,30.0,21.0,160.0,229.0,0.8,1.0,0.21,1.05,0.08,0.03
Balkaser,I/CHA/CHA/29/S/1,2002.0,7.8,0.18,1201.0,9.0,450,23.57196261682243,283.0,144.0,30.0,28.0,190.0,373.0,0.7,2.0,0.17,1.06,0.03,0.09
,I/CHA/CHA/29/C/1,1940.0,8.0,0.11,1164.0,8.6,430,23.57196261682243,270.0,135.0,40.0,24.0,200.0,355.0,0.4,2.0,0.13,1.02,0.46,0.99
,I/CHA/CHA/29/C/2,1949.0,7.92,0.21,1169.0,8.5,425,23.57196261682243,274.0,150.0,38.0,21.0,180.0,355.0,0.5,2.0,0.09,1.04,0.32,1.16
Thoa Bahadar,I/CHA/CHA/30/S/1,1682.0,7.78,0.78,1009.0,7.1,355,23.57196261682243,224.0,136.0,24.0,22.0,150.0,306.0,4.0,2.0,0.1,1.0,0.31,1.23
,I/CHA/CHA/30/C/1,2070.0,8.0,0.83,1283.0,8.6,430,23.57196261682243,287.0,201.0,34.0,47.0,280.0,361.0,1.0,3.0,0.11,1.01,0.38,0.98
,I/CHA/CHA/30/C/2,2020.0,8.09,0.63,1252.0,8.5,425,23.57196261682243,285.0,194.0,34.0,34.0,225.0,356.0,1.0,2.0,0.13,1.03,0.1,0.58
Piple,I/CHA/CHA/31/S/1,1941.0,7.74,0.33,1165.0,8.2,410,23.57196261682243,283.0,146.0,36.0,26.0,195.0,348.0,0.8,2.0,0.17,1.02,0.41,1.19
,I/CHA/CHA/31/C/1,1938.0,7.92,0.64,1163.0,8.2,410,23.57196261682243,277.0,145.0,36.0,26.0,195.0,345.0,0.6,2.0,0.14,2.99,0.21,0.95
